,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
2,L. Messi,30,Argentina,93,93,FC Barcelona,€105M,€565K,2154,92,48,90,95,95,96,77,89,97,95,90,6,11,15,14,8,71,22,68,87,88,13,74,93,95,88,85,26,87,73,28,59,90,85,92,45,59,92,84,158023,92,57,45,84,59,92,90,88,91,62,RW ,92,57,45,84,59,92,90,88,91,62,88
10,G. Higuaín,29,Argentina,90,90,Juventus,€77M,€275K,1961,78,50,75,69,85,86,68,74,84,91,62,5,12,7,5,10,86,20,79,59,82,12,70,92,88,75,88,18,80,72,22,85,70,88,81,46,52,84,71,167664,81,51,46,71,52,84,79,87,82,55,ST ,81,51,46,71,52,84,79,87,82,55,87
17,S. Agüero,29,Argentina,89,89,Manchester City,€66.5M,€325K,2074,90,63,86,91,89,90,70,82,89,90,72,13,15,6,11,14,68,24,80,63,83,13,83,91,89,79,88,12,84,74,20,74,83,85,85,44,54,87,75,153079,85,52,44,75,54,87,84,86,86,57,ST ,85,52,44,75,54,87,84,86,86,57,86
20,P. Dybala,23,Argentina,88,93,Juventus,€79M,€215K,2063,88,48,91,85,93,84,80,88,92,85,84,5,4,4,5,8,68,24,75,71,88,14,86,84,84,83,82,20,84,83,20,65,84,88,86,43,55,86,78,211110,86,55,43,78,55,86,86,83,87,60,ST CAM ,86,55,43,78,55,86,86,83,87,60,83
84,A. Di María,29,Argentina,85,85,Paris Saint-Germain,€37.5M,€145K,2115,86,73,92,79,85,82,85,78,86,74,72,10,7,11,12,11,53,38,72,79,77,37,73,82,80,83,83,56,86,78,59,60,81,77,83,58,66,82,78,183898,83,66,58,78,66,82,83,77,83,70,LW RW ,83,66,58,78,66,82,83,77,83,70,77
11931,M. Guzmán,32,Argentina,64,64,Club Atlético Patronato,€350K,€3K,1748,61,68,69,72,65,70,62,56,64,53,35,10,12,14,10,12,54,62,68,58,59,56,45,58,64,63,60,62,69,77,69,66,60,35,62,63,64,61,63,232700,62,64,63,63,64,61,63,59,62,65,CDM RM CM ,62,64,63,63,64,61,63,59,62,65,59
684,W. Caballero,35,Argentina,79,79,Chelsea,€3M,€59K,1241,44,30,39,55,30,56,12,23,12,11,11,80,76,73,78,81,22,19,70,48,14,15,16,7,75,33,23,12,47,44,11,70,47,13,NA,NA,NA,NA,NA,139062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
989,F. Armani,30,Argentina,77,77,Atletico Nacional Medellin,€5.5M,€6K,1113,30,18,36,34,19,28,18,14,19,11,16,76,73,67,78,79,11,20,57,21,17,14,20,18,76,24,20,13,34,25,13,72,55,15,NA,NA,NA,NA,NA,214584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1350,G. Mercado,30,Argentina,76,76,Sevilla FC,€5.5M,€18K,1872,74,81,55,51,70,73,68,56,53,52,54,12,16,10,12,6,75,78,76,64,55,73,49,61,71,67,63,74,75,79,75,82,60,25,63,75,72,63,66,183892,63,73,75,66,72,63,65,64,63,72,RB CB ,63,73,75,66,72,63,65,64,63,72,64
155,N. Otamendi,29,Argentina,83,83,Manchester City,€20M,€140K,1886,62,90,69,62,64,84,52,50,41,53,39,12,5,8,11,12,83,85,86,66,56,81,44,49,78,71,69,84,64,76,83,80,45,56,58,81,76,58,64,192366,58,75,81,64,76,58,58,63,57,72,CB ,58,75,81,64,76,58,58,63,57,72,63
269,F. Fazio,30,Argentina,82,82,Roma,€16.5M,€73K,1611,31,84,29,32,72,83,44,46,48,41,37,8,9,12,11,14,89,83,40,62,26,85,33,32,82,64,63,79,30,69,84,90,47,35,52,81,75,52,61,179847,52,70,81,61,75,52,53,56,49,67,CB ,52,70,81,61,75,52,53,56,49,67,56
234,M. Rojo,27,Argentina,82,83,Manchester United,€21M,€130K,2045,70,92,72,64,68,74,75,67,67,50,57,7,8,12,15,10,82,80,85,73,63,79,64,57,77,72,79,80,71,79,82,82,57,49,66,80,77,66,69,201862,66,77,80,69,77,66,68,67,66,76,LB CB ,66,77,80,69,77,66,68,67,66,76,67
546,N. Tagliafico,24,Argentina,79,84,Independiente,€14M,€23K,2006,92,73,83,82,75,73,67,61,74,57,40,13,9,10,15,16,76,77,84,66,44,79,46,66,74,69,66,78,85,88,78,62,68,33,70,75,74,70,71,211256,70,78,75,71,74,70,73,68,71,77,CB LB ,70,78,75,71,74,70,73,68,71,77,68
653,C. Ansaldi,30,Argentina,79,79,Torino,€9M,€68K,2056,77,80,79,66,78,81,78,76,80,57,45,15,15,11,8,8,63,75,70,76,66,78,52,65,79,77,60,80,83,87,79,69,73,51,74,76,78,72,76,173306,74,78,76,76,78,72,76,68,75,79,LB ,74,78,76,76,78,72,76,68,75,79,68
447,E. Salvio,26,Argentina,80,80,SL Benfica,€16M,€17K,2027,88,67,86,84,80,78,78,75,78,76,64,9,11,9,5,14,67,52,87,70,74,40,60,81,77,74,74,33,86,83,38,63,73,71,77,55,62,78,73,190972,77,62,55,73,62,78,79,76,79,65,RM ,77,62,55,73,62,78,79,76,79,65,76
191,J. Mascherano,33,Argentina,83,83,FC Barcelona,€10.5M,€155K,1984,67,88,72,78,80,86,63,63,58,42,50,6,10,8,5,5,68,88,75,75,55,81,60,51,83,79,76,82,64,76,83,74,68,51,68,80,81,65,73,142754,68,78,80,73,81,65,67,63,65,77,CDM CB ,68,78,80,73,81,65,67,63,65,77,63
84,A. Di María,29,Argentina,85,85,Paris Saint-Germain,€37.5M,€145K,2115,86,73,92,79,85,82,85,78,86,74,72,10,7,11,12,11,53,38,72,79,77,37,73,82,80,83,83,56,86,78,59,60,81,77,83,58,66,82,78,183898,83,66,58,78,66,82,83,77,83,70,LW RW ,83,66,58,78,66,82,83,77,83,70,77
