,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
8,E. Hazard,26,Belgium,90,91,Chelsea,€90.5M,€295K,2096,93,54,93,91,92,87,80,82,93,83,79,11,12,6,8,8,57,41,59,81,82,25,86,85,85,86,79,22,87,79,27,65,86,79,88,47,61,87,81,183277,88,59,47,81,61,87,87,82,88,64,LW ,88,59,47,81,61,87,87,82,88,64,82
894,K. Casteels,25,Belgium,78,81,VfL Wolfsburg,€9M,€42K,1223,44,33,50,43,23,50,15,20,14,15,13,80,69,74,75,82,14,16,58,37,18,12,20,15,78,35,21,17,46,44,19,72,38,13,NA,NA,NA,NA,NA,192984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,T. Courtois,25,Belgium,89,92,Chelsea,€59M,€190K,1282,46,23,61,45,23,52,14,19,13,14,11,85,91,69,86,88,13,15,68,31,17,11,27,13,81,32,36,16,52,38,18,70,44,12,NA,NA,NA,NA,NA,192119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,S. Mignolet,29,Belgium,81,81,Liverpool,€12M,€91K,1266,55,34,34,42,24,66,11,16,14,11,12,80,76,65,78,84,16,21,69,34,16,13,41,16,77,37,45,16,56,31,14,72,40,16,NA,NA,NA,NA,NA,173426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,T. Alderweireld,28,Belgium,86,87,Tottenham Hotspur,€40.5M,€165K,2047,62,81,60,50,70,81,64,63,62,45,69,16,6,14,16,14,82,84,81,81,66,89,60,56,86,77,86,85,69,76,90,82,67,38,67,84,81,67,74,184087,67,79,84,74,81,67,67,67,65,77,CB ,67,79,84,74,81,67,67,67,65,77,67
3873,D. Boyata,26,Belgium,72,73,Celtic,€3M,€32K,1582,67,75,45,56,62,61,51,34,40,11,13,11,8,13,13,8,77,68,84,63,25,67,13,47,60,65,56,70,73,68,71,84,41,43,50,71,66,49,56,197837,50,66,71,56,66,49,53,51,49,64,CB ,50,66,71,56,66,49,53,51,49,64,51
91,V. Kompany,31,Belgium,85,85,Manchester City,€26M,€170K,1913,61,87,60,42,68,81,61,61,63,45,52,10,9,5,8,6,84,80,71,66,55,84,63,41,84,72,75,84,64,74,85,88,59,46,62,82,77,62,67,139720,62,76,82,67,77,62,63,63,61,74,CB ,62,76,82,67,77,62,63,63,61,74,63
324,T. Meunier,25,Belgium,81,84,Paris Saint-Germain,€18.5M,€77K,2141,72,73,63,49,80,78,81,69,81,72,56,8,13,15,6,9,72,74,72,74,76,80,65,78,79,79,77,79,80,92,82,85,71,79,77,78,79,77,78,202371,77,80,78,78,79,77,79,77,77,80,RM RB ,77,80,78,78,79,77,79,77,77,80,77
807,T. Vermaelen,31,Belgium,78,78,FC Barcelona,€7M,€120K,1927,69,77,60,57,64,72,63,61,55,52,65,9,10,7,11,15,81,73,88,72,68,75,62,41,70,78,78,78,67,58,77,79,51,56,61,76,72,61,65,157304,61,71,76,65,72,61,62,64,61,70,LB CB ,61,71,76,65,72,61,62,64,61,70,64
87,J. Vertonghen,30,Belgium,85,85,Tottenham Hotspur,€28.5M,€130K,2079,68,83,62,55,74,81,68,58,69,56,73,6,10,9,12,7,81,86,83,74,68,84,68,60,82,79,86,86,66,79,86,81,68,52,70,83,81,70,74,172871,70,80,83,74,81,70,70,70,69,78,CB ,70,80,83,74,81,70,70,70,69,78,70
