,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
398,Alisson,24,Brazil,80,84,Roma,€14M,€45K,1194,44,27,30,37,21,62,17,19,16,13,18,75,76,70,78,86,19,11,52,20,14,20,23,13,82,27,21,16,35,32,19,78,65,20,NA,NA,NA,NA,NA,212831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,Ederson,23,Brazil,83,89,Manchester City,€26M,€87K,1320,64,35,60,40,30,58,20,12,21,14,20,81,76,82,78,87,14,25,58,30,18,9,17,16,86,15,42,8,63,38,15,68,60,18,NA,NA,NA,NA,NA,210257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
666,Danilo,33,Brazil,79,79,Udinese,€5M,€34K,1625,49,78,46,60,60,74,30,34,45,23,38,11,8,11,5,6,72,86,76,66,49,86,50,25,74,60,72,82,52,49,84,74,42,22,49,78,72,49,57,166072,49,68,78,57,72,49,48,50,46,64,CB ,49,68,78,57,72,49,48,50,46,64,50
40,Marcelo,29,Brazil,87,87,Real Madrid CF,€38M,€250K,2209,77,84,77,82,88,85,90,80,84,67,67,12,5,5,5,9,71,83,77,76,66,80,59,75,87,82,83,87,79,81,85,77,75,54,79,82,82,79,80,176676,79,84,82,80,82,79,81,77,80,84,LB ,79,84,82,80,82,79,81,77,80,84,77
90,Filipe Luís,31,Brazil,85,85,Atlético Madrid,€25M,€81K,2134,75,81,74,60,81,88,84,74,77,59,75,11,15,9,9,5,68,82,63,77,60,85,65,71,83,78,71,86,82,91,83,74,70,56,75,80,81,74,77,164169,75,83,80,77,81,74,78,72,75,83,LB ,75,83,80,77,81,74,78,72,75,83,72
31,Thiago Silva,32,Brazil,88,88,Paris Saint-Germain,€34M,€175K,2124,70,77,74,68,80,83,60,61,68,38,67,9,12,5,9,10,82,89,93,81,71,90,71,59,84,79,74,88,74,74,89,81,74,63,72,85,83,69,77,164240,72,81,85,77,83,69,70,67,68,79,CB ,72,81,85,77,83,69,70,67,68,79,67
141,Marquinhos,23,Brazil,83,89,Paris Saint-Germain,€30.5M,€75K,1869,69,80,66,68,76,79,72,49,65,33,32,6,6,12,10,13,80,84,85,78,35,85,31,46,81,80,53,86,72,75,85,74,51,31,64,82,80,61,70,207865,64,80,82,70,80,61,67,60,63,79,CB ,64,80,82,70,80,61,67,60,63,79,60
64,Miranda,32,Brazil,86,86,Inter,€25.5M,€115K,1890,67,83,61,57,72,84,48,32,65,43,39,12,6,10,13,12,83,88,82,69,41,89,49,43,82,70,70,86,74,65,90,80,58,51,63,84,79,62,67,168609,63,77,84,67,79,62,63,63,61,75,CB ,63,77,84,67,79,62,63,63,61,75,63
72,Casemiro,25,Brazil,85,89,Real Madrid CF,€42M,€195K,2138,63,87,66,57,78,86,52,59,69,59,74,13,14,16,12,12,74,86,87,84,77,83,66,66,83,82,86,86,61,85,87,85,76,53,74,83,84,72,79,200145,74,78,83,79,84,72,71,72,69,77,CDM ,74,78,83,79,84,72,71,72,69,77,72
296,Fernandinho,32,Brazil,82,82,Manchester City,€12.5M,€130K,2150,73,86,77,79,78,73,68,70,77,69,71,12,11,5,13,7,55,85,72,79,78,72,61,68,82,82,83,77,73,80,83,75,75,74,77,77,80,75,79,135507,77,77,77,79,80,75,76,73,75,78,RB CM CDM ,77,77,77,79,80,75,76,73,75,78,73
