,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
649,D. Ospina,28,Colombia,79,79,Arsenal,€9M,€91K,1159,34,20,44,50,32,29,11,10,12,10,13,83,71,78,77,84,15,25,75,32,12,10,26,16,70,36,35,12,34,29,13,38,40,12,NA,NA,NA,NA,NA,176550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1774,C. Vargas,28,Colombia,75,76,Atletico Nacional Medellin,€5.5M,€5K,1233,42,22,55,45,19,22,16,25,16,16,23,77,75,65,70,77,24,23,69,24,13,13,46,12,71,23,25,15,48,35,19,67,50,13,NA,NA,NA,NA,NA,212067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,J. Cuadrado,29,Colombia,82,82,Juventus,€21.5M,€130K,2111,90,70,91,83,83,76,78,76,90,67,69,5,5,13,6,9,58,62,75,69,80,60,65,78,76,77,84,68,92,75,60,57,72,68,79,65,69,80,75,193082,79,72,65,75,69,80,80,76,81,74,RM ,79,72,65,75,69,80,80,76,81,74,76
724,D. Zapata,26,Colombia,78,81,Sampdoria,€13M,€67K,1741,69,58,64,58,76,73,44,46,72,81,64,9,9,8,6,8,78,20,79,38,64,20,64,78,74,64,86,22,76,69,24,90,47,76,67,46,47,72,59,215333,67,47,46,59,47,72,66,77,69,49,ST ,67,47,46,59,47,72,66,77,69,49,77
305,D. Sánchez,21,Colombia,81,88,Tottenham Hotspur,€21.5M,€70K,1745,65,85,62,55,64,72,36,22,54,40,27,9,7,10,6,15,81,76,74,61,44,81,44,34,74,65,74,85,76,79,82,86,44,28,56,80,73,56,61,220793,56,73,80,61,73,56,57,59,54,70,CB ,56,73,80,61,73,56,57,59,54,70,59
1188,S. Arias,25,Colombia,77,80,PSV,€9M,€17K,1923,84,75,78,76,74,75,75,31,74,35,41,14,7,14,15,16,62,70,82,72,50,75,56,65,75,72,56,76,84,88,74,62,52,43,67,72,73,66,69,204259,67,76,72,69,73,66,71,62,68,76,RB ,67,76,72,69,73,66,71,62,68,76,62
1489,O. Murillo,29,Colombia,76,76,Pachuca,€6M,€33K,1665,66,79,53,51,56,48,59,35,46,42,27,13,11,10,16,14,75,79,85,65,35,80,32,29,70,61,43,68,73,66,77,83,44,22,52,75,69,51,57,198581,52,70,75,57,69,51,55,53,52,67,CB ,52,70,75,57,69,51,55,53,52,67,53
1247,F. Fabra,26,Colombia,76,79,Boca Juniors,€8M,€25K,1923,85,72,82,71,73,68,70,60,78,49,34,7,15,13,9,7,69,72,84,51,54,67,55,61,71,68,67,75,90,90,70,81,40,33,65,72,69,67,64,214040,65,75,72,64,69,67,70,66,69,75,LB ,65,75,72,64,69,67,70,66,69,75,66
4895,J. Mojica,24,Colombia,70,73,Girona CF,€2.3M,€8K,1933,91,74,76,59,72,68,73,72,70,54,68,13,8,14,9,15,55,59,73,59,59,58,67,61,53,69,80,70,91,72,66,69,61,43,66,65,65,67,64,214026,66,68,65,64,65,67,69,65,69,69,LB LWB LM ,66,68,65,64,65,67,69,65,69,69,65
8084,P. Mina,32,Colombia,67,67,Asociacion Deportivo Cali,€450K,€2K,1077,41,19,39,57,21,22,17,16,20,16,18,71,68,62,58,72,16,19,55,23,13,14,23,16,58,27,16,11,44,23,11,66,31,16,NA,NA,NA,NA,NA,227163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2334,W. Barrios,23,Colombia,74,82,Boca Juniors,€7M,€18K,1768,66,82,67,67,65,68,59,31,58,30,31,13,14,13,15,16,59,78,83,65,39,75,32,60,73,70,53,70,61,90,76,70,65,22,61,73,73,59,67,214394,61,71,73,67,73,59,63,55,59,71,CM CDM ,61,71,73,67,73,59,63,55,59,71,55
1042,C. Sánchez,31,Colombia,77,77,Fiorentina,€6M,€56K,1940,65,80,63,47,75,74,60,52,70,48,58,11,6,7,13,7,70,78,75,76,68,68,62,58,74,78,72,70,68,84,79,87,68,43,69,76,76,67,73,182882,69,73,76,73,76,67,69,66,67,73,CB CM CDM ,69,73,76,73,76,67,69,66,67,73,66
1993,J. Lerma,22,Colombia,75,83,Levante UD,€8.5M,€18K,2052,76,78,76,76,75,63,69,67,71,56,68,16,14,11,7,9,58,74,81,71,75,60,58,58,72,76,80,80,79,90,75,75,68,53,71,72,74,70,73,213991,71,75,72,73,74,70,72,68,70,75,RB CM CDM ,71,75,72,73,74,70,72,68,70,75,68
717,J. Izquierdo,24,Colombia,78,80,Brighton & Hove Albion,€13M,€50K,1840,93,27,90,83,78,73,70,75,83,71,34,13,8,12,7,13,60,37,73,63,77,18,58,75,71,69,80,15,93,84,21,63,72,54,76,41,51,77,69,219411,76,53,41,69,51,77,77,74,78,57,LW ,76,53,41,69,51,77,77,74,78,57,74
48,J. Rodríguez,25,Colombia,86,89,FC Bayern Munich,€56M,€250K,2118,77,65,82,75,85,87,88,87,83,82,86,15,15,15,5,14,62,55,54,80,91,25,81,80,84,84,86,30,75,68,42,70,86,91,83,53,64,83,79,198710,83,61,53,79,64,83,82,80,83,65,RM CM CAM ,83,61,53,79,64,83,82,80,83,65,80
1679,A. Aguilar,32,Colombia,75,75,Asociacion Deportivo Cali,€3.8M,€4K,1878,44,86,56,53,70,70,57,61,65,59,62,12,11,15,6,11,73,80,67,69,60,67,59,68,73,75,71,61,34,73,81,78,70,51,66,74,74,65,71,177974,66,67,74,71,74,65,64,65,63,67,CDM ,66,67,74,71,74,65,64,65,63,67,65
1023,J. Quintero,24,Colombia,77,82,Independiente Medellín,€12M,€14K,1840,76,43,90,90,83,74,75,80,84,64,77,14,16,10,7,12,42,35,56,75,73,18,71,62,74,78,83,22,72,47,30,39,77,65,76,40,53,74,70,210513,76,50,40,70,53,74,75,68,76,55,CAM ,76,50,40,70,53,74,75,68,76,55,68
2705,M. Uribe,26,Colombia,73,74,Club América,€4.6M,€48K,2019,76,72,70,73,71,68,70,63,70,70,66,16,13,16,7,14,67,65,75,76,68,69,68,66,69,75,66,69,75,91,70,74,66,43,70,70,72,70,72,214047,70,72,70,72,72,70,72,69,71,72,RW CDM CM ,70,72,70,72,72,70,72,69,71,72,69
246,J. Cuadrado,29,Colombia,82,82,Juventus,€21.5M,€130K,2111,90,70,91,83,83,76,78,76,90,67,69,5,5,13,6,9,58,62,75,69,80,60,65,78,76,77,84,68,92,75,60,57,72,68,79,65,69,80,75,193082,79,72,65,75,69,80,80,76,81,74,RM ,79,72,65,75,69,80,80,76,81,74,76
12332,O. Garcia,24,Colombia,63,70,CD America de Cali,€525K,€1K,1603,88,60,82,58,69,67,46,57,72,60,34,15,16,16,14,14,46,14,63,41,44,31,60,60,49,60,65,26,86,53,40,64,44,56,61,43,44,63,52,213355,61,46,43,52,44,63,62,62,64,48,RW RM LM ST ,61,46,43,52,44,63,62,62,64,48,62
217,C. Bacca,30,Colombia,82,82,Villarreal CF,€21.5M,€125K,1872,76,62,76,77,81,80,60,72,79,87,58,12,12,8,5,8,76,34,77,50,60,12,80,87,80,72,76,14,78,67,16,74,66,80,75,44,50,78,66,207664,75,49,44,66,50,78,75,80,77,53,ST ,75,49,44,66,50,78,75,80,77,53,80
430,L. Muriel,26,Colombia,80,83,Sevilla FC,€18.5M,€26K,1900,87,50,86,77,85,70,60,77,86,80,60,8,10,10,14,6,65,16,62,55,65,18,74,78,76,74,82,22,90,75,24,80,73,75,78,43,51,80,69,199110,78,51,43,69,51,80,78,79,79,55,ST ,78,51,43,69,51,80,78,79,79,55,79
