,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
77,D. Subašić,32,Croatia,85,85,AS Monaco,€22M,€46K,1305,51,31,42,37,19,65,11,24,11,10,66,84,79,79,85,87,13,20,75,26,14,15,23,15,82,24,24,13,54,32,14,80,52,13,NA,NA,NA,NA,NA,192593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,N. Kalinić,29,Croatia,81,81,Milan,€18M,€84K,1892,69,70,69,58,79,78,60,64,74,85,54,9,11,9,11,7,80,42,68,48,68,22,70,90,85,72,78,28,77,79,32,78,66,80,75,52,56,78,68,185431,75,55,52,68,56,78,74,80,76,58,ST ,75,55,52,68,56,78,74,80,76,58,80
267,V. Ćorluka,31,Croatia,82,82,Lokomotiv Moscow,€15M,€54K,1922,49,81,57,46,73,78,68,69,65,47,60,15,9,12,14,6,83,77,86,72,53,83,49,45,77,70,64,82,65,80,83,84,60,38,63,80,77,62,69,181786,63,76,80,69,77,62,65,62,62,74,CB ,63,76,80,69,77,62,65,62,62,74,62
1909,I. Strinić,29,Croatia,75,75,Sampdoria,€5M,€31K,1957,73,71,72,73,75,69,76,62,71,48,55,10,8,14,13,10,56,75,72,66,61,77,61,70,73,71,68,72,75,75,75,70,59,50,68,72,72,68,69,201139,68,74,72,69,72,68,70,65,69,74,LB ,68,74,72,69,72,68,70,65,69,74,65
340,D. Lovren,27,Croatia,81,83,Liverpool,€17.5M,€110K,1739,57,87,53,43,67,70-1,59,26,63,33,18,14,14,13,10,7,77,82,82,66,34,78,52,21,75,68,63,85,55,70,83-1,86,56,42,56,80,75,54,63,195086,56,73,80,63,75,54,58,54,55,72,CB ,56,73,80,63,75,54,58,54,55,72,54
568,S. Vrsaljko,25,Croatia,79,83,Atlético Madrid,€13.5M,€54K,2044,80,70,67,72,75,67,82,70,72,44,57,15,11,10,10,12,69,79,84,70,58,77,52,65,77,74,75,75,81,89,78,73,68,53,70,76,76,69,73,203890,70,78,76,73,76,69,73,67,71,79,RB ,70,78,76,73,76,69,73,67,71,79,67
1405,T. Jedvaj,21,Croatia,76,84,Bayer 04 Leverkusen,€10M,€36K,1827,75,83,67,65,68,67,67,45,60,51,30,15,13,10,10,12,74,76,81,60,39,74,44,49,72,68,65,78,69,72,77,76,39,43,59,75,71,60,61,215930,59,73,75,61,71,60,63,62,61,72,RB CB ,59,73,75,61,71,60,63,62,61,72,62
4798,D. Ćaleta-Car,20,Croatia,71,77,FC Red Bull Salzburg,€2.8M,€15K,1577,64,71,47,62,53,66,28,28,54,32,31,8,9,9,10,8,72,63,74,43,35,69,38,60,55,62,48,72,64,75,75,81,45,32,52,70,63,53,55,225263,52,63,70,55,63,53,53,54,50,61,CB ,52,63,70,55,63,53,53,54,50,61,54
15,L. Modrić,31,Croatia,89,89,Real Madrid CF,€57M,€340K,2228,75,62,93,94,92,84,78,79,86,71,77,13,9,7,14,9,55,76,67,83,82,66,80,79,88,92,73,73,71,82,80,58,90,74,86,72,80,83,86,177003,86,78,72,86,80,83,84,76,83,80,CDM CM ,86,78,72,86,80,83,84,76,83,80,76
42,I. Rakitić,29,Croatia,87,87,FC Barcelona,€48.5M,€275K,2129,67,67,72,66,87,81,81,88,84,83,84,14,11,12,5,9,58,69,44,92,88,52,78,80,79,87,84,53,64,76,65,63,87,80,83,64,74,82,84,168651,83,69,64,84,74,82,82,78,81,72,CM ,83,69,64,84,74,82,82,78,81,72,78
219,M. Kovačić,23,Croatia,82,88,Real Madrid CF,€30M,€150K,2054,85,71,77,70,87,72,73,78,88,62,68,9,5,6,7,7,42,70,63,82,75,52,59,69,68,87,79,63,77,77,69,65,88,76,81,65,74,78,81,207410,81,71,65,81,74,78,80,71,79,74,CDM CM ,81,71,65,81,74,78,80,71,79,74,71
775,M. Badelj,28,Croatia,78,78,Fiorentina,€10.5M,€64K,2012,58,76,67,64,80,72,69,64,70,54,58,8,9,14,15,6,66,80,58,82,72,70,68,62,78,82,72,76,60,80,78,72,78,66,73,74,78,70,77,201144,73,74,74,77,78,70,72,67,70,75,CDM CM ,73,74,74,77,78,70,72,67,70,75,67
