,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
183,K. Schmeichel,30,Denmark,83,84,Leicester City,€19M,€65K,1355,62,33,62,47,40,52,18,13,12,12,15,83,82,82,80,86,16,20,60,46,14,14,26,14,80,44,36,13,60,35,14,62,59,15,NA,NA,NA,NA,NA,163587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1601,J. Lössl,28,Denmark,75,76,Huddersfield Town,€5.5M,€21K,1070,29,17,32,30,19,30,14,14,15,12,13,74,77,67,71,77,17,20,51,34,15,12,12,10,72,30,22,15,34,25,13,67,49,11,NA,NA,NA,NA,NA,172553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2766,F. Rønnow,24,Denmark,73,78,Brøndby IF,€3.9M,€12K,1082,48,17,34,40,12,31,14,16,13,9,7,74,71,66,70,76,12,12,63,30,13,17,17,14,71,25,21,13,45,32,11,67,45,7,NA,NA,NA,NA,NA,201269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,S. Kjær,28,Denmark,81,82,Sevilla FC,€16M,€23K,1869,60,80,48,58,67,72,54,52,42,55,73,6,10,13,10,15,82,81,70,74,41,80,61,31,76,75,78,80,68,78,82,83,49,37,57,79,76,57,65,179645,57,75,79,65,76,57,59,61,56,72,CB ,57,75,79,65,76,57,59,61,56,72,61
310,A. Christensen,21,Denmark,81,89,Chelsea,€23M,€86K,1720,70+9,73,60+6,62,72,74+2,49,32,68+3,36,22,10,12,8,6,8,79,81,74,72+2,20,83,36,32,80,76,31,84,73+7,68+2,88,70+1,60,25,62,80,77,58,67,213661,62,76,80,67,77,58,64,55,60,74,CDM CB ,62,76,80,67,77,58,64,55,60,74,55
591,N. Jørgensen,26,Denmark,79,81,Feyenoord,€15.5M,€25K,1931,76,60,65,64,80,83,68,69,78,79,64,6,8,14,9,7,72,31,74,63,77,33,72,79,75,75,80,24,78,84,36,81,76,74,76,51,57,78,71,199852,76,56,51,71,57,78,76,78,76,59,ST ,76,56,51,71,57,78,76,78,76,59,78
571,J. Vestergaard,24,Denmark,79,84,Borussia Mönchengladbach,€14.5M,€36K,1712,47,81,30,28,56,70,46,41,49,34,40,16,11,11,15,10,86,81,36,80,47,74,75,43,74,69,81,77,46,63,82,94,50,39,54,78,74,54,63,202849,54,68,78,63,74,54,54,58,50,66,CB ,54,68,78,63,74,54,54,58,50,66,58
4558,H. Dalsgaard,27,Denmark,71,71,Brentford,€2M,€27K,1885,77,60,68,65,67,58,70,48,68,65,52,12,14,12,9,8,57,60,65,60,67,72,52,73,63,66,72,70,88,74,72,73,55,51,66,67,66,68,65,190633,66,70,67,65,66,68,69,68,69,70,RB ,66,70,67,65,66,68,69,68,69,70,68
6150,J. Stryger Larsen,26,Denmark,69,70,Udinese,€1M,€14K,1844,82,72,72,72,65,62,62,61,63,49,48,7,8,12,7,9,46,68,77,60,57,65,50,56,65,62,58,65,84,81,68,71,59,63,62,66,66,62,63,193133,62,68,66,63,66,62,65,60,64,68,RB ,62,68,66,63,66,62,65,60,64,68,60
6010,J. Knudsen,24,Denmark,69,74,Ipswich Town,€1.2M,€10K,1814,78,66,73,75,65,55,66,64,63,25,56,13,13,13,8,15,62,65,70,64,64,65,41,56,57,64,70,66,77,83,69,67,52,29,60,66,65,59,62,199748,60,68,66,62,65,59,63,56,60,68,LB ,60,68,66,62,65,59,63,56,60,68,56
