,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
322,J. Butland,24,England,81,87,Stoke City,€18M,€50K,1225,38,32,48,35,26,59,11,12,21,16,14,81,83,72,78,85,12,27,61,40,13,16,42,16,73,36,29,11,43,35,13,63,31,12,NA,NA,NA,NA,NA,203042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6935,N. Pope,25,England,68,74,Burnley,€875K,€20K,1087,50,36,29,45,24,37,11,11,13,14,12,72,67,66,67,70+1,11,17,59,35,15,15,22,13,53,32,17,14,45,32,15,52,39,14,NA,NA,NA,NA,NA,203841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1087,J. Pickford,23,England,77,85,Everton,€10M,€59K,1304,48,23,33,46,38,51,17,18,14,19,16,77,76,85,73,82,15,24,59,53,13,14,41,18,68,50,31,12,41,44,20,50,66,20,NA,NA,NA,NA,NA,204935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1083,F. Delph,27,England,77,78,Manchester City,€10M,€110K,2073,76,82,89,86,79,76,69,72,83,63,48,10,9,14,11,6,53,75,68,75,73,63,65,71,72,80,80,71,72,88,73,66,72,59,76,70,75,74,76,183427,76,73,70,76,75,74,76,71,75,75,CM ,76,73,70,76,75,74,76,71,75,75,71
280,D. Rose,26,England,82,83,Tottenham Hotspur,€21M,€99K,2117,80,87,73,76,76,73,81,64,79,57,57,10,11,8,13,13,62,81,75,66,69,82,57,68,82,76,72,85,81,81,84,74,73,64,74,79,79,73,75,169595,74,81,79,75,79,73,76,70,75,81,LWB LB ,74,81,79,75,79,73,76,70,75,81,70
233,E. Dier,23,England,82,87,Tottenham Hotspur,€25M,€85K,2045,70,90,56,40,70,77,67,54,66,52,77,11,14,6,13,9,83,80,77,77,72,79,70,53,76,76,83,83,74,80,82,87,66,52,68,81,78,67,72,202335,68,77,81,72,78,67,69,68,66,76,CM CDM CB ,68,77,81,72,78,67,69,68,66,76,68
162,K. Walker,27,England,83,84,Manchester City,€24M,€130K,2164,86,78,70,72,76,75,78,76,77,51,71,12,6,16,15,8,73,78,83,67,68,79,63,66,81,75,86,83,93,90,84,77,69,57,73,79,78,73,74,188377,73,82,79,74,78,73,76,72,74,81,RWB RB ,73,82,79,74,78,73,76,72,74,81,72
908,K. Trippier,26,England,78,79,Tottenham Hotspur,€10M,€76K,2054,78,70,77,76,75,71,87,80,75,45,68,11,14,8,11,10,70,74,74,76,66,77,39,60,72,73,77,78,77,87,76,71,78,44,71,74,75,69,74,186345,71,77,74,74,75,69,74,66,72,78,RWB RB ,71,77,74,74,75,69,74,66,72,78,66
6161,T. Alexander-Arnold,18,England,69,85,Liverpool,€1.9M,€23K,1904,81,69,75,75,63,65,70,73,68,56,74,14,15,14,6,7,56,64,67,67,63,63,55,62,60,73,62,64,81,78,66,59,63,41,66,64,66,65,66,231281,66,68,64,66,66,65,68,62,67,69,CM RM RB ,66,68,64,66,66,65,68,62,67,69,62
1215,H. Maguire,24,England,77,83,Leicester City,€10.5M,€53K,1667,40,75,38,55,64,71,41,29,64,30,46,14,16,9,14,9,77,74,71,65,34,77,40,52,67,69,54,75,51,72,78,90,50,27,56,76,71,55,62,203263,56,67,76,62,71,55,56,55,53,65,CB ,56,67,76,62,71,55,56,55,53,65,55
