,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
223,F. Thauvin,24,France,82,85,Olympique de Marseille,€28M,€40K,1966,88,56,81,71,83,80,82,80,86,74,54,8,11,14,10,9,69,43,64,75,81,29,57,80,83,81,82,31,77,71,29,62,78,67,81,50,59,81,75,204970,81,59,50,75,59,81,81,78,82,63,RM RW ,81,59,50,75,59,81,81,78,82,63,78
128,K. Mbappé,18,France,83,94,Paris Saint-Germain,€41.5M,€31K,2050,89,62,78,76,87,80,70,75,86,87,58,13,5,7,11,6,76,49,71,68,68,41,70,79,79,78,79,40,90,83,44,74,77,74,81,58,64,82,75,231747,81,64,58,75,64,82,81,82,82,67,ST ,81,64,58,75,64,82,81,82,82,67,82
133,T. Lemar,21,France,83,91,AS Monaco,€38.5M,€37K,2171,86,63,85,84,86,79,82,81,88,78,81,11,15,13,7,14,54,66,72,71,76,63,68,76,76,82,82,63,84,79,59,69,82,75,82,66,72,81,78,213565,82,72,66,78,72,81,82,77,82,75,LM ,82,72,66,78,72,81,82,77,82,75,77
270,O. Giroud,30,France,82,82,Arsenal,€21.5M,€140K,1933,51,76,59,52,82,78,64,70,72,83,65,12,15,11,6,5,90,41,82,56,74,26,81,83,82,77,85,20,55,74,37,90,75,82,75,55,59,77,71,178509,75,53,55,71,59,77,72,80,73,56,ST ,75,53,55,71,59,77,72,80,73,56,80
604,A. Areola,24,France,79,86,Paris Saint-Germain,€13M,€54K,1266,54,26,53,58,22,35,20,16,12,19,16,81,77,70,74,83,14,23,59,32,14,19,25,17,76,41,25,12,52,28,18,80,34,16,NA,NA,NA,NA,NA,193105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,H. Lloris,30,France,88,88,Tottenham Hotspur,€38M,€165K,1318,65,31,55,54,34,61,13,11,10,10,10,88,86,68,82,90,10,27,74,50,14,12,40,10,85,50,23,18,63,41,10,43,30,11,NA,NA,NA,NA,NA,167948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,S. Mandanda,32,France,82,82,Olympique de Marseille,€12.5M,€31K,1217,53,37,52,36,17,63,14,13,15,13,12,86,78,77,77,85,13,23,74,28,11,10,11,11,79,37,24,13,43,31,15,61,55,13,NA,NA,NA,NA,NA,163705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1098,L. Hernández,21,France,77,88,Atlético Madrid,€13.5M,€36K,1679,66,77,69,61,65,66,57,38,46,36,28,10,7,8,14,10,80,76,85,58,47,74,34,27,65,67,62,81,64,59,80,72,33,23,52,76,69,51,56,220814,52,70,76,56,69,51,54,54,53,68,LB CB ,52,70,76,56,69,51,54,54,53,68,54
992,P. Kimpembe,21,France,77,86,Paris Saint-Germain,€12M,€51K,1685,69,75,65,65,70,72,34,39,60,31,32,7,8,14,15,9,69,78,75,59,33,78,43,34,70,69,47,80,69,65,78,78,39,28,56,76,71,54,60,225850,56,70,76,60,71,54,56,54,54,68,CB ,56,70,76,60,71,54,56,54,54,68,54
757,B. Mendy,22,France,78,86,Manchester City,€13M,€86K,1935,79,75,68,71,76,70,82,77,76,33,29,7,7,9,15,9,64,76,69,68,63,73,40,70,76,76,68,78,84,82,76,81,58,20,69,75,75,68,71,204884,69,77,75,71,75,68,73,65,71,78,LWB LB ,69,77,75,71,75,68,73,65,71,78,65
3398,B. Pavard,21,France,72,80,VfB Stuttgart,€3.9M,€12K,1811,69,69,69,66,68,62,67,49,66,37,45,9,7,15,7,15,65,75,85,66,36,76,51,54,67,69,60,71,73,68,74,58,62,43,62,71,70,61,65,226851,62,71,71,65,70,61,65,58,62,70,LB CB RB ,62,71,71,65,70,61,65,58,62,70,58
367,A. Rami,31,France,81,81,Olympique de Marseille,€12M,€35K,1725,49,83,57,50,64,77,28,43,53,45,55,5,3,5,5,3,79,83,76,68,58,80,48,24,75,66,83,78,57,63,81,91,22,45,52,79,73,53,58,183280,52,68,79,58,73,53,51,59,50,66,CB ,52,68,79,58,73,53,51,59,50,66,59
585,D. Sidibé,24,France,79,82,AS Monaco,€13M,€35K,2086,78,76,68,67,77,75,79,77,76,70,73,10,16,9,12,7,66,76,83,70,68,75,43,76,74,76,69,79,82,90,78,75,69,42,74,76,76,74,75,201042,74,78,76,75,76,74,76,73,75,79,LB RB ,74,78,76,75,76,74,76,73,75,79,73
143,S. Umtiti,23,France,83,88,FC Barcelona,€29.5M,€135K,2109,72,80,68,66,75,74,69,72,69,51,63,15,10,14,12,15,72,86,87,73,74,80,61,58,77,79,83,83,75,79,85,78,58,70,69,81,79,69,73,205600,69,79,81,73,79,69,70,69,69,78,CB ,69,79,81,73,79,69,70,69,69,78,69
71,R. Varane,24,France,85,92,Real Madrid CF,€46.5M,€175K,1875,77,77,58,47,77,82,36,46,57,40,54,11,11,9,5,14,83,82,80,76,53,84,43,44,81,75,52,85,81,68,86,85,56,42,64,83,79,62,69,201535,64,77,83,69,79,62,63,62,61,73,CB ,64,77,83,69,79,62,63,62,61,73,62
34,N. Kanté,26,France,87,90,Chelsea,€52.5M,€190K,2154,82,90,83,90,79,84,67,49,77,65,49,15,12,10,7,10,54,91,79,79,66,75,54,71,87,84,72,85,80,94,89,77,76,56,78,81,84,76,81,215914,78,82,81,81,84,76,78,72,76,83,CM CDM ,78,82,81,81,84,76,78,72,76,83,72
