,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
345,J. Corona,24,Mexico,81,85,FC Porto,€23M,€17K,1969,87,45,90,87,84,85,73,85,91,76,67,11,6,10,14,9,67,45,72,68,66,29,68,80,82,76,66,31,79,74,40,39,77,75,80,49,58,80,74,193165,80,59,49,74,58,80,80,75,81,63,RM ,80,59,49,74,58,80,80,75,81,63,75
683,G. Ochoa,31,Mexico,79,79,Standard de Liège,€7.5M,€18K,1206,47,19,65,42,18,57,15,14,10,12,17,76,69,78,78,87,19,23,75,32,11,11,16,16,74,31,25,12,50,34,10,56,48,16,NA,NA,NA,NA,NA,140233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1811,H. Ayala,30,Mexico,75,75,Tigres U.A.N.L.,€4.9M,€50K,1801,66,64,63,52,67,75,61,46,51,52,41,7,11,16,9,6,71,76,67,62,57,76,55,44,77,66,65,78,68,74,78,74,55,46,60,74,71,60,64,171896,60,72,74,64,71,60,61,61,60,71,CB ,60,72,74,64,71,60,61,61,60,71,61
2393,C. Salcedo,23,Mexico,74,80,Eintracht Frankfurt,€6.5M,€38K,1563,66,70,65,61,60,65,28,25,58,22,22,6,10,6,7,11,68,76,72,58,18,76,36,30,66,64,39,76,68,69,78,79,48,25,52,73,69,50,57,212888,52,67,73,57,69,50,53,48,50,65,CB ,52,67,73,57,69,50,53,48,50,65,48
935,D. Reyes,24,Mexico,77,82,FC Porto,€10M,€13K,1781,63,64,68,55,77,67,49,45,67,44,36,8,14,12,7,8,79,79,70,68,47,79,48,44,73,79,49,81,66,68,76,69,52,37,64,76,74,62,68,192012,64,73,76,68,74,62,64,60,62,72,CB ,64,73,76,68,74,62,64,60,62,72,60
831,M. Layún,29,Mexico,78,78,FC Porto,€8M,€15K,2120,77,72,74,78,76,79,80,68,75,67,74,7,16,6,12,11,63,78,75,74,76,72,74,73,74,76,80,76,78,78,77,66,71,66,74,73,75,74,75,178322,74,76,73,75,75,74,75,72,75,77,RB LB ,74,76,73,75,75,74,75,72,75,77,72
479,H. Moreno,29,Mexico,80,80,Roma,€11.5M,€71K,1882,66,78,66,62,68,76,64,48,56,43,28,12,15,14,9,10,84,76,74,68,44,83,63,46,78,75,64,82,66,71,80,75,59,55,62,79,75,60,66,173432,62,75,79,66,75,60,63,61,61,73,LB CB ,62,75,79,66,75,60,63,61,61,73,61
4226,E. Álvarez,19,Mexico,71,77,Club América,€2.7M,€17K,1771,71,61,73,68,71,70,64,27,68,40,30,7,11,10,7,6,74,69,73,71,30,70,65,55,67,72,66,70,70,70,71,71,30,63,59,70,68,60,62,235844,59,70,70,62,68,60,64,61,61,69,CDM CB ,59,70,70,62,68,60,64,61,61,69,61
486,J. dos Santos,27,Mexico,80,81,LA Galaxy,€16.5M,€13K,2056,68,59,74,81,85,65,83,80,80,62,76,15,15,7,10,12,57,65,69,78,74,52,59,80,78,84,72,55,65,77,63,65,83,73,79,63,71,77,79,170370,79,69,63,79,71,77,78,72,77,71,RM CM ,79,69,63,79,71,77,78,72,77,71,72
625,M. Fabián,27,Mexico,79,79,Eintracht Frankfurt,€13M,€38K,2018,76,64,88,86,81,76,74,78,81,77,78,14,11,8,15,13,61,34,71,75,80,20,75,75,75,80,81,39,69,75,44,66,77,77,78,50,59,78,74,186307,78,57,50,74,59,78,77,75,78,61,LM RM CAM ,78,57,50,74,59,78,77,75,78,61,75
660,G. dos Santos,28,Mexico,79,79,LA Galaxy,€13M,€15K,1917,87,53,88,90,83,76,73,73,79,78,80,6,9,11,7,5,61,28,66,70,78,21,70,75,76,75,80,23,86,66,28,45,70,77,77,43,53,78,70,170369,77,53,43,70,53,78,77,75,79,57,ST CAM CF ,77,53,43,70,53,78,77,75,79,57,75
673,H. Herrera,27,Mexico,79,80,FC Porto,€14M,€19K,2054,73,79,66,70,76,75,63,67,75,64,63,6,10,15,7,16,59,79,66,71,76,74,58,76,75,75,81,67,74,92,76,73,73,59,74,73,76,74,76,156519,74,74,73,76,76,74,74,72,73,75,CDM CM ,74,74,73,76,76,74,74,72,73,75,72
485,A. Guardado,30,Mexico,80,80,Real Betis Balompié,€13.5M,€32K,2098,76,72,82,88,84,76,73,70,80,58,71,7,10,10,11,10,55,72,74,82,65,60,70,67,82,84,74,72,76,84,72,57,81,69,78,69,76,75,79,171897,78,74,69,79,76,75,78,70,76,76,CDM CM ,78,74,69,79,76,75,78,70,76,76,70
758,R. Jiménez,26,Mexico,78,80,SL Benfica,€12.5M,€16K,1956,75,80,76,51,77,74,69,70,74,75,45,7,11,13,14,10,82,41,70,67,69,29,87,82,79,71,78,28,77,81,36,81,71,80,74,54,59,76,70,204838,74,57,54,70,59,76,75,77,75,59,ST ,74,57,54,70,59,76,75,77,75,59,77
281,C. Vela,28,Mexico,82,82,Real Sociedad,€22.5M,€46K,1963,87,57,86,79,81,79,80,80,82,81,71,8,14,8,13,10,64,37,69,63,80,12,72,81,77,81,73,14,81,68,22,68,80,84,80,44,54,80,72,169416,80,53,44,72,54,80,80,78,81,57,ST RW ,80,53,44,72,54,80,80,78,81,57,78
