,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
1,Cristiano Ronaldo,32,Portugal,94,94,Real Madrid CF,â‚¬95.5M,â‚¬565K,2228,89,63,89,63,93,95,85,81,91,94,76,7,11,15,14,11,88,29,95,77,92,22,85,95,96,83,94,23,91,92,31,80,85,88,89,53,62,91,82,20801,89,61,53,82,62,91,89,92,91,66,ST LW ,89,61,53,82,62,91,89,92,91,66,92
68,Pepe,34,Portugal,86,86,BeÅŸiktaÅŸ JK,â‚¬13.5M,â‚¬94K,1839,65,94,63,49,62,77,46,44,58,46,47,8,15,5,9,10,80,86,76,61,56,86,57,40,83,70,63,87,70,62,86,84,48,23,59,83,76,59,63,120533,59,75,83,63,76,59,59,61,58,72,CB ,59,75,83,63,76,59,59,61,58,72,61
95,Bernardo Silva,22,Portugal,84,91,Manchester City,â‚¬43.5M,â‚¬165K,2012,85,58,88,86,89,84,79,79,91,76,63,9,10,14,12,9,51,49,53,78,64,46,64,77,84,84,72,35,78,80,44,54,85,66,83,53,66,82,79,218667,83,63,53,79,66,82,83,75,83,68,RM ,83,63,53,79,66,82,83,75,83,68,75
134,JoÃ£o MÃ¡rio,24,Portugal,83,88,Inter,â‚¬34M,â‚¬70K,2098,71,61,81,70,85,85,77,74,84,66,67,6,15,8,8,8,55,78,63,78,73,67,66,80,82,83,77,61,75,84,75,69,82,69,80,70,77,79,81,212814,80,74,70,81,77,79,80,74,79,77,CAM CM ,80,74,70,81,77,79,80,74,79,77,74
142,William Carvalho,25,Portugal,83,86,Sporting CP,â‚¬27.5M,â‚¬21K,1967,52,75,45,50,78,89,66,77,79,56,50,6,6,5,14,14,73,84,68,86,58,77,60,62,74,84,59,71,53,84,85,88,78,50,72,79,81,69,79,207566,72,75,79,79,81,69,72,67,69,75,CM CDM ,72,75,79,79,81,69,72,67,69,75,67
149,A. Lopes,26,Portugal,83,86,Olympique Lyonnais,â‚¬22.5M,â‚¬60K,1317,60,35,65,62,21,55,19,15,15,18,14,86,81,71,79,85,16,25,85,31,18,13,16,9,85,32,20,13,64,33,15,65,38,13,NA,NA,NA,NA,NA,199482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,Adrien Silva,28,Portugal,83,83,,â‚¬0,â‚¬0,2174,64,79,73,67,85,82,78,79,82,71,75,15,6,8,10,7,61,84,56,84,80,80,85,75,77,83,83,73,65,89,78,62,85,75,80,75,81,78,82,184826,80,78,75,82,81,78,79,74,78,79,CDM CM ,80,78,75,82,81,78,79,74,78,79,74
175,Rui PatrÃ­cio,29,Portugal,83,83,Sporting CP,â‚¬17.5M,â‚¬19K,1350,53,39,61,54,23,53,12,10,20,12,16,85,81,80,79,82,11,22,79,30,11,13,32,13,80,31,38,11,57,45,13,77,63,17,NA,NA,NA,NA,NA,178005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
196,Quaresma,33,Portugal,83,83,BeÅŸiktaÅŸ JK,â‚¬15.5M,â‚¬67K,1962,85,62,91,84,87,79,88,92,89,70,78,12,14,10,5,15,41,24,63,75,83,10,74,75,78,79,83,13,82,69,17,54,80,80,81,37,52,80,74,20775,81,50,37,74,52,80,81,74,82,57,LM RM ,81,50,37,74,52,80,81,74,82,57,74
289,JoÃ£o Moutinho,30,Portugal,82,82,AS Monaco,â‚¬20.5M,â‚¬48K,2192,73,74,79,84,82,86,77,82,81,74,79,13,15,15,13,13,70,72,79,82,80,68,70,73,75,84,76,68,65,84,72,64,80,76,79,71,76,77,80,162347,79,74,71,80,76,77,78,75,78,75,CAM CDM CM ,79,74,71,80,76,77,78,75,78,75,75
302,Gelson Martins,22,Portugal,81,88,Sporting CP,â‚¬25M,â‚¬20K,2007,95,57,94,94,83,84,79,84,85,66,60,12,9,7,6,9,51,43,65,56,74,43,66,77,82,75,72,36,94,87,46,48,78,74,79,52,60,79,73,227055,79,64,52,73,60,79,80,73,81,68,LM RM ,79,64,52,73,60,79,80,73,81,68,73
316,R. Guerreiro,23,Portugal,81,86,Borussia Dortmund,â‚¬24M,â‚¬58K,2171,83,69,88,86,83,75,85,84,83,72,82,12,6,8,11,8,61,85,64,74,83,74,44,76,81,83,81,77,72,77,70,54,79,76,80,72,77,79,80,209889,80,78,72,80,77,79,80,75,81,80,CM LB LWB LM ,80,78,72,80,77,79,80,75,81,80,75
501,Manuel Fernandes,31,Portugal,80,80,Lokomotiv Moscow,â‚¬13M,â‚¬54K,2145,83,68,82,76,83,77,79,79,84,71,70,14,14,9,16,8,59,68,74,80,82,62,75,70,72,79,83,68,76,73,69,71,79,69,79,68,73,78,77,157960,79,72,68,77,73,78,78,74,79,74,CM CAM ,79,72,68,77,73,78,78,74,79,74,74
657,JosÃ© Fonte,33,Portugal,79,79,West Ham United,â‚¬5M,â‚¬99K,1630,44,84,58-2,54,62,69,36,33,58,40,32,7,11,16,10,6,76,81,73,56,29,78,43,40,78,62,29,77,43,66,79,80,55,34,55,77,71,53,60,171791,55,67,77,60,71,53,54,52,52,65,CB ,55,67,77,60,71,53,54,52,52,65,52
696,AndrÃ© Silva,21,Portugal,78,86,Milan,â‚¬15.5M,â‚¬77K,1962,75,76,77,72,78,70,59,69,77,75,33,14,13,7,11,8,77,55,84,58,66,34,80,83,79,67,76,35,85,85,40,74,66,74,73,57,60,76,69,228941,73,60,57,69,60,76,74,77,74,62,ST ,73,60,57,69,60,76,74,77,74,62,77
732,Bruno Fernandes,22,Portugal,78,85,Sporting CP,â‚¬14.5M,â‚¬16K,2115,79,62,82,79,81,80,76,81,79,65,76,12,14,15,8,14,58,68,72,77,79+3,58,66,75,75,78,83+3,62,78,76,66,69,74,78,77,66,71,76,76,212198,77,71,66,76,71,76,77,74,77,72,CM CF CAM ,77,71,66,76,71,76,77,74,77,72,74
1374,Beto,35,Portugal,76,76,GÃ¶ztepe,â‚¬1.8M,â‚¬11K,1202,47,29,69,35,18,23,17,23,14,12,10,79,69,79,75,75,22,12,67,32,12,17,23,12,74,36,25,10,34,40,19,52,47,17,NA,NA,NA,NA,NA,182629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
582,CÃ©dric,25,Portugal,79,82,Southampton,â‚¬13M,â‚¬82K,2118,84,75,76,83,76,69,81,66,76,57,64,11,14,12,12,11,65,76,73,69,78,76,60,71,76,75,80,79,80,88,78,63,65,68,73,74,75,73,74,201118,73,78,74,74,75,73,75,71,74,79,RB ,73,78,74,74,75,73,75,71,74,79,71
7507,RÃºben Dias,20,Portugal,68,78,SL Benfica,â‚¬1.3M,â‚¬5K,1458,62,77,44,51,63,65,34,33,48+15,29,26,7,8,13,7,12,68,63,67,31,22,66,45,28,69+6,54+5,42,67,57+1,63,70,74+2,28,30,45,67,60,47,48,239818,45,62,67,48,60,47,48,48,46,59,CB ,45,62,67,48,60,47,48,48,46,59,48
1005,MÃ¡rio Rui,26,Portugal,77,78,Napoli,â‚¬8.5M,â‚¬56K,2028,88,73,88,89,73,73,77,63,71,27,60,13,5,9,8,14,60,73,92,71,73,72,60,59,75,73,69,75,84,92,75,54,60,53,68,71,73,66,71,204614,68,76,71,71,73,66,71,61,69,77,LB ,68,76,71,71,73,66,71,61,69,77,61
2398,GonÃ§alo Guedes,20,Portugal,74,82,Valencia CF,â‚¬8.5M,â‚¬54K,1916,84,67,81,69,74,75,69,74,76,74,70,9,12,11,9,9,60,47,65,62,76,25,69,78,76,73,76,30,80,77,34,56,71,73,75,49,57,75,69,224411,75,57,49,69,57,75,75,73,75,60,LM RM ST ,75,57,49,69,57,75,75,73,75,60,73
405,Ricardo Pereira,23,Portugal,80,86,FC Porto,â‚¬17M,â‚¬15K,2120,89,75,84,78,78,81,80,76,83,60,42,16,12,15,11,11,64,79,76,78,62,78,53,78,80,80,67,75,88,82,80,62,75,53,78,75,78,76,78,210243,78,79,75,78,78,76,80,72,78,80,RM LB RB ,78,79,75,78,78,76,80,72,78,80,72
813,Bruno Alves,35,Portugal,78,78,Rangers,â‚¬2.4M,â‚¬38K,2070,60,90,68,63,70,82,67,77,68,62,80,15,13,16,9,15,79,69,93,75,78,78,75,52,70,68,83,70,52,69,77,91,58,60,65,77,73,65,68,138110,65,69,77,68,73,65,65,68,65,69,CB ,65,69,77,68,73,65,65,68,65,69,68
