,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
2496,R. Olsen,27,Sweden,74,76,FC København,€4.6M,€16K,1122,28,29,33,31,17,41,16,15,11,11,18,69,75,71,72,76,15,19,39,32,15,17,30,13,73,29,17,17,40,38,12,76,48,20,NA,NA,NA,NA,NA,207557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1890,K. Johnsson,27,Sweden,75,77,En Avant de Guingamp,€5.5M,€17K,1197,50,35,45,32,22,44,11,12,16,13,11,75,70,77,75,79,19,20,72,38,13,11,17,16,64,26,21,12,49,45,14,69,49,19,NA,NA,NA,NA,NA,190120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2981,K. Nordfeldt,28,Sweden,73,75,Swansea City,€3.3M,€45K,1189,55,24,58,46,24,18,11,20,14,13,11,73,66,66,74,78,13,23,83,26,12,13,13,15,70,41,19,15,52,33,13,74,30,11,NA,NA,NA,NA,NA,192129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2748,M. Lustig,30,Sweden,73,73,Celtic,€2.9M,€44K,1848,53,68,67,54,69,76,69,65,66,48,40,12,7,8,13,10,75,75,81,66,60,75,33,44,75,72,65,74,62,70,77,76,60,59,63,74,72,62,67,176942,63,72,74,67,72,62,64,61,62,71,CB RB ,63,72,74,67,72,62,64,61,62,71,61
526,V. Lindelöf,22,Sweden,79,86,Manchester United,€15M,€105K,1869,68,80,64,47,62,70,48,64,59,36,66,12,16,8,7,9,78,81,81,68,57,79,55,37,78,74,68,77,72,77,79,79,49,34,59,78,74,58,65,221660,59,73,78,65,74,58,60,59,58,72,CB ,59,73,78,65,74,58,60,59,58,72,59
502,A. Granqvist,32,Sweden,80,80,FC Krasnodar,€8.5M,€50K,1798,46,81,55,36,63,78,49,36,49,51,40,7,9,12,10,15,81,82,64,67,59,83,79,54,76,73,74,79,49,67,83,83,49,37,59,79,75,59,65,156713,59,71,79,65,75,59,57,62,56,69,CB ,59,71,79,65,75,59,57,62,56,69,62
1239,J. Olsson,34,Sweden,76,76,Djurgårdens IF,€2.3M,€8K,1711,45,88,34,49,56,66,35,59,47,40,60,9,12,16,14,11,80,79,68,58,43,74,51,50,77,62,45,70,50,62,72,90,55,50,54,75,69,53,59,45842,54,65,75,59,69,53,52,55,50,62,CB ,54,65,75,59,69,53,52,55,50,62,55
3152,L. Augustinsson,23,Sweden,73,82,SV Werder Bremen,€5.5M,€21K,1987,82,63,79,73,71,70,77,75,71,55,70,10,12,10,15,8,41,64,69,75,59,72,62,65,70,72,69,70,78,92,68,65,71,54,70,66,71,68,71,212678,70,72,66,71,71,68,73,64,70,74,LB ,70,72,66,71,71,68,73,64,70,74,64
3142,F. Helander,24,Sweden,73,78,Bologna,€4.5M,€36K,1531,42,80,56,49,50,63,30,39,48,28,40,15,8,10,7,16,72,76,68,48,25,76,34,24,68,50,58,68,52,68,76,84,45,21,45,72,65,45,51,207555,45,62,72,51,65,45,46,47,43,60,CB ,45,62,72,51,65,45,46,47,43,60,47
2713,E. Krafth,22,Sweden,73,80,Bologna,€4.7M,€36K,1903,74,70,73,72,68,70,68,70,68,41,54,8,13,15,14,7,64,70,68,62,58,72,54,52,70,68,70,76,77,77,76,68,60,46,64,71,70,63,65,207650,64,72,71,65,70,63,66,61,64,72,RB ,64,72,71,65,70,63,66,61,64,72,61
8554,O. Jansson,26,Sweden,67,70,Örebro SK,€675K,€3K,998,31,23,28,37,14,25,15,13,11,15,13,70-2,60,61,65,71,16,15,55,23,12,11,23,8,63,20,21,18,30,23,13,60,46,14,NA,NA,NA,NA,NA,190669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2299,S. Larsson,32,Sweden,74,74,Hull City,€4.3M,€13K,2040,55,80,65,73,76,74,83,85,70,72,81,7,11,14,14,8,66,61,70,73,76,61,70,70,76,75,77,59,57,76,62,67,76,74,72,66,69,72,73,164459,72,67,66,73,69,72,72,71,72,69,RM CM ,72,67,66,73,69,72,72,71,72,69,71
1321,A. Ekdal,27,Sweden,76,76,Hamburger SV,€8M,€38K,1956,55,83,65,57,80,75,69,74,76,60,70,5,5,5,5,5,60,70,66,77,69,54,68,72,76,77,72,64,54,77,70,75,75,66,73,68,73,71,75,181318,73,68,68,75,73,71,72,69,71,69,CB CDM CM ,73,68,68,75,73,71,72,69,71,69,69
140,E. Forsberg,25,Sweden,83,85,RB Leipzig,€31.5M,€75K,1949,78,62,85,83,85,79,86,81,82,72,77,13,7,9,15,11,45,43,53,70,80,23,64,77,80,86,75,17,72,76,26,63,86,67,81,45,59,79,76,208448,81,55,45,76,59,79,81,74,81,61,LM CAM ,81,55,45,76,59,79,81,74,81,61,74
2126,G. Svensson,30,Sweden,74,74,Seattle Sounders FC,€4.2M,€8K,1768,54,82,49,59,68,69,44,52,64,34,33,15,12,11,16,6,64,73,73,68,47,68,45,50,74,74,66,72,52,86,72,78,62,45,61,72,73,59,67,177448,61,68,72,67,73,59,61,57,57,68,CB CM CDM ,61,68,72,67,73,59,61,57,57,68,57
3136,O. Hiljemark,25,Sweden,73,78,Panathinaikos FC,€5M,€1K,1933,70,69,66,64,74,73,50,64,70,48,69,6,8,15,16,12,59,70,72,76,67,58,64,63,70,74,83,58,71,89,70,70,68,50,69,66,71,68,72,202944,69,67,66,72,71,68,68,65,66,68,CDM CM ,69,67,66,72,71,68,68,65,66,68,65
