,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
111,R. Bürki,26,Switzerland,84,86,Borussia Dortmund,€26M,€69K,1257,44,35,51,52,23,58,15,13,16,8,12,84,82,73,80,85,17,18,74,24,14,14,20,10,80,37,22,16,52,36,13,74,50,13,NA,NA,NA,NA,NA,189117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,Y. Mvogo,23,Switzerland,75,82,RB Leipzig,€7M,€31K,1210,43,30,60,57,24,30,13,14,18,10,20,79,73,68,71,78,18,13,71,22,14,11,20,13,71,25,22,12,41,24,18,73,65,19,NA,NA,NA,NA,NA,206003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
176,Y. Sommer,28,Switzerland,83,84,Borussia Mönchengladbach,€21M,€39K,1299,48,38,55,58,25,57,13,12,15,13,13,81,82,83,80,83,10,21,69,31,12,11,24,15,80,40,23,12,54,45,19,68,58,8,NA,NA,NA,NA,NA,177683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3631,M. Akanji,21,Switzerland,72,83,FC Basel,€4.7M,€17K,1566,59,45,69,58,74,70,24,26,51,39,27,10,9,13,6,9,75,67,72,65,30,74,40,28,68,71,38,73,54,77,76,76,32,31,54,71,69,51,59,229237,54,66,71,59,69,51,54,52,51,64,CB ,54,66,71,59,69,51,54,52,51,64,52
2831,J. Djourou,30,Switzerland,73,73,Antalyaspor,€3M,€17K,1593,65,74,53,37,43,69,44,42,29,35,39,16,15,13,7,14,77,75,66,68,28,73,48,44,73,29,42,75,72,54,76,87,46,34,43,72,62,45,49,162893,43,64,72,49,62,45,46,50,44,59,CB ,43,64,72,49,62,45,46,50,44,59,50
2145,N. Elvedi,20,Switzerland,74,84,Borussia Mönchengladbach,€8M,€22K,1729,68,68,65,53,70,63,58,48,66,25,29,9,15,10,12,9,65,75,73,61,31,74,37,49,72,67,51,76,71,78,79,77,58,30,60,73,71,58,64,221491,60,72,73,64,71,58,63,55,59,71,RB CB ,60,72,73,64,71,58,63,55,59,71,55
1146,M. Lang,26,Switzerland,77,79,FC Basel,€9M,€38K,2003,72,69,65,57,75,71,80,45,60,68,55,12,8,9,10,11,80,74,80,73,68,78,59,65,64,74,74,77,75,85,79,80,48,74,66,76,74,67,69,184501,66,76,76,69,74,67,69,71,68,76,RM RB ,66,76,76,69,74,67,69,71,68,76,71
298,S. Lichtsteiner,33,Switzerland,82,82,Juventus,€8.5M,€115K,2072,76,82,77,79,75,80,82,68,76,45,66,4,3,2,3,2,72,82,75,71,70,78,64,66,82,77,74,82,78,83,82,72,62,62,71,79,78,70,74,108080,71,80,79,74,78,70,74,68,72,80,RM RB ,71,80,79,74,78,70,74,68,72,80,68
2456,F. Moubandje,27,Switzerland,74,75,Toulouse FC,€5M,€25K,1923,71,76,65,68,71,72,65,61,70,42,48,15,14,13,11,6,66,74,84,67,40,77,56,69,73,71,63,76,71,78,77,76,57,52,65,75,73,65,68,198067,65,73,75,68,73,65,68,63,65,73,LB ,65,73,75,68,73,65,68,63,65,73,63
7543,R. Rodriguez,26,Switzerland,68,68,FC Zürich,€950K,€10K,1744,82,53,83,65,70,68,65,60,67,61,56,9,8,9,10,14,49,44,59,60,37,41,66,62,56,63,65,47,92,71,40,60,65,55,65,50,55,65,61,216534,65,57,50,61,55,65,67,63,67,59,LW LM ,65,57,50,61,55,65,67,63,67,59,63
