,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Special,Acceleration,Aggression,Agility,Balancea,Ball.control,Composure,Crossing,Curve,Dribbling,Finishing,Free.kick.accuracy,GK.diving,GK.handling,GK.kicking,GK.positioning,GK.reflexes,Heading.accuracy,Interceptions,Jumping,Long.passing,Long.shots,Marking,Penalties,Positioning,Reactions,Short.passing,Shot.power,Sliding.tackle,Sprint.speed,Stamina,Standing.tackle,Strength,Vision,Volleys,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred.Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
4,L. Suárez,30,Uruguay,92,92,FC Barcelona,€97M,€510K,2291,88,78,86,60,91,83,77,86,86,94,84,27,25,31,33,37,77,41,69,64,86,30,85,92,93,83,87,38,77,89,45,80,84,88,87,58,65,88,80,176580,87,64,58,80,65,88,85,88,87,68,ST ,87,64,58,80,65,88,85,88,87,68,88
39,E. Cavani,30,Uruguay,87,87,Paris Saint-Germain,€48.5M,€160K,2097,75,84,81,59,80,83,70,75,80,83,74,12,5,13,13,10,88,48,88,50,78,24,84,92,91,78,85,27,78,92,45,74,77,84,80,58,62,82,74,179813,80,61,58,74,62,82,79,84,80,64,ST ,80,61,58,74,62,82,79,84,80,64,84
27,D. Godín,31,Uruguay,88,88,Atlético Madrid,€40M,€125K,1930,62,86,63,58,76,82,55,49,53,42,51,6,8,15,5,15,92,88,89,70,43,87,50,48,85,79,67,89,67,67,86,80,52,47,63,86,80,62,69,182493,63,79,86,69,80,62,63,64,61,76,CB ,63,79,86,69,80,62,63,64,61,76,64
266,F. Muslera,31,Uruguay,82,82,Galatasaray SK,€13.5M,€57K,1370,60,32,68,62,23,63,15,14,25,10,10,81,75,75,83,85,12,23,84,47,10,17,24,13,78,44,25,16,62,45,16,68,58,10,NA,NA,NA,NA,NA,182494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GK ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,J. Giménez,22,Uruguay,83,87,Atlético Madrid,€28.5M,€53K,1760,68,89,57,50,56,73,47,36,47,37,44,9,11,7,10,15,79,85,90,58,48,85,38,24,76,68,72,87,72,68,86,84,27,30,51,82,73,51,57,216460,51,75,82,57,73,51,53,56,51,71,CB ,51,75,82,57,73,51,53,56,51,71,56
1889,C. Rodríguez,31,Uruguay,75,75,,€0,€0,1991,70,69,67,72,79,81,72,73,80,64,73,7,13,16,13,14,62,59,70,72,72,50,66,72,72,76,80,55,71,69,55,71,72,65,74,62,66,74,72,170664,74,64,62,72,66,74,74,72,73,67,LM CAM ,74,64,62,72,66,74,74,72,73,67,72
1185,M. Cáceres,30,Uruguay,77,77,Hellas Verona,€6.5M,€28K,1910,74,76,79,74,64,76,68,68,60,37,41,2,3,4,2,4,76,80,91,65,59,80,50,50,70,65,70,77,74,72,78,74,58,65,61,76,72,60,64,182495,61,74,76,64,72,60,63,61,61,72,RB CB ,61,74,76,64,72,60,63,61,61,72,61
1443,M. Pereyra,27,Uruguay,76,77,FC Krasnodar,€8.5M,€45K,2037,76,67,94,89,78,73,74,67,74,70,73,16,13,14,12,7,49,69,53,74,75,65,62,73,75,79,70,55,70,73,67,58,77,69,76,64,71,74,75,204691,76,69,64,75,71,74,75,70,75,71,RM CAM RW CM ,76,69,64,75,71,74,75,70,75,71,70
337,S. Coates,26,Uruguay,81,83,Sporting CP,€18M,€21K,1723,50,82,33,31,63,74,17,47,65,32,19,16,13,15,16,13,80,80,62,73,30,76,42,49,74,73,62,85,64,79,84,93,50,55,58,80,76,57,65,197655,58,70,80,65,76,57,57,59,53,68,CB ,58,70,80,65,76,57,57,59,53,68,59
6487,R. Bentancur,20,Uruguay,69,83,Juventus,€2.3M,€37K,1760,62,51,67,68,68,61,56,44,73,48,49,8,7,14,14,12,62,59,70,68,62,51,50,59,63,73,63,51,66,84,59,64,73,42,67,59,64,65,68,227535,67,62,59,68,64,65,66,61,65,63,CM ,67,62,59,68,64,65,66,61,65,63,61
1131,C. Stuani,30,Uruguay,77,77,Girona CF,€8.5M,€30K,1964,70,77,66,63,72,77,68,66,71,76,57,16,14,9,16,8,79,36,83,59,69,39,80,80,81,69,79,42,68,83,49,77,69,73,72,58,60,74,68,186537,72,59,58,68,60,74,72,76,72,61,RM ST ,72,59,58,68,60,74,72,76,72,61,76
714,M. Vecino,25,Uruguay,78,81,Inter,€13M,€59K,1977,68,72,66,56,79,70,68,60,74,60,58,4,4,4,4,4,60,78,62,76,74,66,56,72,80,80,78,72,68,84,76,76,76,62,75,73,77,74,77,219985,75,74,73,77,77,74,74,71,73,75,CDM CM ,75,74,73,77,77,74,74,71,73,75,71
